Operado,Cash_Total_USD,Total_Safe_Valuation,Total_Growth_Valuation,Patrimonio_USD
2025-01-18,217.88268138636087,0.0,0.0,217.88268138636087
2025-01-26,217.84049082650463,0.0,0.0,217.84049082650463
2025-01-27,217.7977016990224,0.0,0.0,217.7977016990224
2025-01-31,218.04210202946487,0.0,0.0,218.04210202946487
2025-02-06,218.70210202946487,0.0,0.0,218.70210202946487
2025-02-09,218.5719444049583,0.0,0.0,218.5719444049583
2025-02-10,218.43590520092923,0.0,0.0,218.43590520092923
2025-02-11,298.89357046551265,0.0,0.0,298.89357046551265
2025-02-14,299.12476699368847,0.0,0.0,299.12476699368847
2025-02-17,298.8290945021703,0.0,0.0,298.8290945021703
2025-02-18,378.66307928420196,0.0,0.0,378.66307928420196
2025-02-20,181.07630497506815,0.0,0.0,181.07630497506815
2025-02-21,375.3214663043186,0.0,0.0,375.3214663043186
2025-02-24,170.07812992109174,0.0,0.0,170.07812992109174
2025-02-26,287.42736864740607,0.0,0.0,287.42736864740607
2025-02-27,492.51436870893457,0.0,0.0,492.51436870893457
2025-02-28,502.7643687089345,0.0,0.0,502.7643687089345
2025-03-05,330.0382179818462,0.0,0.0,330.0382179818462
2025-03-06,433.7682179818462,0.0,0.0,433.7682179818462
2025-03-07,433.65217591040937,0.0,0.0,433.65217591040937
2025-03-10,433.10011148446944,0.0,0.0,433.10011148446944
2025-03-17,433.13567898579424,0.0,0.0,433.13567898579424
2025-03-19,636.7730270354125,0.0,0.0,636.7730270354125
2025-03-21,714.4030270354125,0.0,0.0,714.4030270354125
2025-03-26,713.6780580512088,0.0,0.0,713.6780580512088
2025-03-28,855.0979669190368,0.0,0.0,855.0979669190368
2025-04-01,855.1353423834064,0.0,0.0,855.1353423834064
2025-04-03,927.801429593889,0.0,0.0,927.801429593889
2025-04-04,637.8735536717647,0.0,0.0,637.8735536717647
2025-04-07,792.9320457759089,0.0,0.0,792.9320457759089
2025-04-08,792.4476839498788,0.0,0.0,792.4476839498788
2025-04-20,792.4366454035057,0.0,0.0,792.4366454035057
2025-04-21,792.4546342437786,0.0,0.0,792.4546342437786
2025-04-24,791.8841525811434,0.0,0.0,791.8841525811434
2025-04-26,791.8757638384692,0.0,0.0,791.8757638384692
2025-04-28,791.8589128857265,0.0,0.0,791.8589128857265
2025-04-29,792.1744498846207,0.0,0.0,792.1744498846207
2025-05-01,792.2592468964218,0.0,0.0,792.2592468964218
2025-05-05,791.923736619635,0.0,0.0,791.923736619635
2025-05-06,793.0928344399955,0.0,0.0,793.0928344399955
2025-05-14,793.0973034168717,0.0,0.0,793.0973034168717
2025-05-16,793.014407355514,0.0,0.0,793.014407355514
2025-05-21,796.564407355514,0.0,0.0,796.564407355514
2025-05-27,796.5389770797431,0.0,0.0,796.5389770797431
2025-05-29,1080.9605175258346,0.0,0.0,1080.9605175258346
2025-05-30,821.9458858866328,0.0,0.0,821.9458858866328
2025-06-03,866.3499942416081,0.0,0.0,866.3499942416081
2025-06-04,866.3548762022245,0.0,0.0,866.3548762022245
2025-06-19,866.0216178025912,0.0,0.0,866.0216178025912
2025-06-21,865.979960502637,0.0,0.0,865.979960502637
2025-06-23,866.069056600737,0.0,0.0,866.069056600737
2025-06-24,865.9179731621929,0.0,0.0,865.9179731621929
2025-06-25,865.9179731621929,0.0,0.0,865.9179731621929
2025-06-27,864.724442093887,0.0,0.0,864.724442093887
2025-06-30,865.1186753528509,0.0,0.0,865.1186753528509
2025-07-01,1223.6030919718237,0.0,0.0,1223.6030919718237
2025-07-02,1223.6030919718237,0.0,0.0,1223.6030919718237
2025-07-07,1223.9659778484183,0.0,0.0,1223.9659778484183
2025-07-08,1223.9701359173862,0.0,0.0,1223.9701359173862
2025-07-11,1223.9209284579288,0.0,0.0,1223.9209284579288
2025-07-16,1223.8661532656413,0.0,0.0,1223.8661532656413
2025-07-21,832.7409352096802,0.0,0.0,832.7409352096802
2025-07-22,832.6775820529209,0.0,0.0,832.6775820529209
2025-07-30,1039.5482182075414,0.0,0.0,1039.5482182075414
2025-07-31,850.6082182075414,0.0,0.0,850.6082182075414
2025-08-01,839.6282182075414,0.0,0.0,839.6282182075414
2025-08-11,841.0635569793537,0.0,0.0,841.0635569793537
2025-08-12,840.4411583127464,0.0,0.0,840.4411583127464
2025-08-19,839.4211668249355,0.0,0.0,839.4211668249355
2025-08-22,839.5240772658042,0.0,0.0,839.5240772658042
2025-08-25,1003.2547511776786,0.0,0.0,1003.2547511776786
2025-08-26,1003.2553513883059,0.0,0.0,1003.2553513883059
2025-08-28,1004.8683016565914,0.0,0.0,1004.8683016565914
2025-09-01,1003.1158265534738,0.0,0.0,1003.1158265534738
2025-09-09,1003.1273694607461,0.0,0.0,1003.1273694607461
2025-09-10,1003.1285537949092,0.0,0.0,1003.1285537949092
2025-09-11,1003.1285537949092,0.0,0.0,1003.1285537949092
2025-09-15,1002.9529807193117,0.0,0.0,1002.9529807193117
2025-09-16,1002.9532835506146,0.0,0.0,1002.9532835506146
2025-09-22,990.3117532431385,0.0,0.0,990.3117532431385
2025-09-23,990.2878647348347,0.0,0.0,990.2878647348347
2025-09-24,990.2881235087037,0.0,0.0,990.2881235087037
2025-09-25,990.293009513745,0.0,0.0,990.293009513745
2025-09-26,990.2589812197988,0.0,0.0,990.2589812197988
2025-09-29,990.4442764101001,0.0,0.0,990.4442764101001
2025-09-30,990.2576804578159,0.0,0.0,990.2576804578159
2025-10-06,992.4282245284422,0.0,0.0,992.4282245284422
2025-10-09,1660.1796059865223,0.0,0.0,1660.1796059865223
2025-10-13,1286.5510213350512,0.0,0.0,1286.5510213350512
2025-10-14,1286.5525630142304,0.0,0.0,1286.5525630142304
2025-10-16,1286.789634409981,0.0,0.0,1286.789634409981
2025-10-17,1286.5587135903713,0.0,0.0,1286.5587135903713
2025-10-20,1286.6238848014834,0.0,0.0,1286.6238848014834
2025-10-22,1286.9521563220576,0.0,0.0,1286.9521563220576
2025-10-23,1286.9181522090753,0.0,0.0,1286.9181522090753
2025-10-24,1286.856553655075,0.0,0.0,1286.856553655075
2025-10-27,1286.8585270922224,0.0,0.0,1286.8585270922224
2025-10-29,855.8545347547146,0.0,0.0,855.8545347547146
2025-10-30,887.2734886079522,0.0,0.0,887.2734886079522
2025-10-31,891.1134886079523,0.0,0.0,891.1134886079523
2025-11-03,890.9830890066982,0.0,0.0,890.9830890066982
2025-11-05,959.2855594587572,0.0,0.0,959.2855594587572
2025-11-06,963.3755594587573,0.0,0.0,963.3755594587573
2025-11-07,963.3771418810213,0.0,0.0,963.3771418810213
2025-11-10,863.3771418810213,0.0,0.0,863.3771418810213
2025-11-12,763.378231893232,0.0,0.0,763.378231893232
2025-11-13,763.3781533257085,0.0,0.0,763.3781533257085
2025-11-14,763.3786385843052,0.0,0.0,763.3786385843052
2025-11-17,763.2443756510603,0.0,0.0,763.2443756510603
2025-11-19,734.9020530739681,0.0,0.0,734.9020530739681
2025-11-20,735.6998135705242,0.0,0.0,735.6998135705242
2025-11-21,767.4198135705241,0.0,0.0,767.4198135705241
2025-11-22,767.3986169468106,0.0,0.0,767.3986169468106
2025-11-25,767.3659221373259,0.0,0.0,767.3659221373259
2025-11-26,764.994787876273,0.0,0.0,764.994787876273
2025-11-27,765.3268770646398,0.0,0.0,765.3268770646398
2025-11-28,1195.8246137825463,0.0,0.0,1195.8246137825463
2025-12-01,1270.9884337423,0.0,0.0,1270.9884337423
2025-12-02,915.9884337423001,0.0,0.0,915.9884337423001
2025-12-04,925.2884337423001,0.0,0.0,925.2884337423001
2025-12-05,925.2900804905754,0.0,0.0,925.2900804905754
2025-12-09,922.5000804905754,0.0,0.0,922.5000804905754
2025-12-11,853.2016015833499,0.0,0.0,853.2016015833499
2025-12-12,783.8318050468176,0.0,0.0,783.8318050468176
2025-12-18,785.1453595823692,0.0,0.0,785.1453595823692
2025-12-19,657.9706127603354,0.0,0.0,657.9706127603354
2025-12-22,657.7120732969842,0.0,0.0,657.7120732969842
2025-12-23,657.5163051838241,0.0,0.0,657.5163051838241
2025-12-24,660.1463051838241,0.0,0.0,660.1463051838241
2025-12-29,660.2783519372341,0.0,0.0,660.2783519372341
2025-12-30,600.4311098076355,0.0,0.0,600.4311098076355
2026-01-02,603.9513511464493,0.0,0.0,603.9513511464493
2026-01-03,603.4593854294625,0.0,0.0,603.4593854294625
2026-01-05,604.1665984941923,0.0,0.0,604.1665984941923
2026-01-06,603.6595899660907,0.0,0.0,603.6595899660907
2026-01-07,611.5895899660907,0.0,0.0,611.5895899660907
2026-01-08,611.4905521554884,0.0,0.0,611.4905521554884
2026-01-12,650.275370148353,0.0,0.0,650.275370148353
2026-01-13,650.2756886964044,0.0,0.0,650.2756886964044
2026-01-14,624.7570937293845,0.0,0.0,624.7570937293845
2026-01-16,624.7578458554652,0.0,0.0,624.7578458554652
2026-01-19,624.6258545456396,0.0,0.0,624.6258545456396
2026-01-22,624.4934620945916,0.0,0.0,624.4934620945916
2026-01-28,639.2095618871285,0.0,0.0,639.2095618871285
2026-01-29,639.4870956289934,0.0,0.0,639.4870956289934
2026-01-30,639.2241879832483,0.0,0.0,639.2241879832483
2026-02-02,639.0330879354107,0.0,0.0,639.0330879354107
2026-02-11,639.0345657518901,0.0,0.0,639.0345657518901
2026-02-12,639.0203962075666,0.0,0.0,639.0203962075666
2026-02-18,639.3368603045316,0.0,0.0,639.3368603045316
2026-02-20,639.3378963984771,0.0,0.0,639.3378963984771
2026-02-23,639.3382122649768,0.0,0.0,639.3382122649768
2026-02-24,639.3384886485081,0.0,0.0,639.3384886485081
2026-02-25,639.3389490027663,0.0,0.0,639.3389490027663
2026-02-26,639.8487964019132,0.0,0.0,639.8487964019132
2026-02-27,640.2466748460054,0.0,0.0,640.2466748460054
2026-03-02,639.4412474218658,0.0,0.0,639.4412474218658
2026-03-03,639.6534073604824,0.0,0.0,639.6534073604824
2026-03-04,639.3857269314267,0.0,0.0,639.3857269314267
2026-03-09,639.6274397262129,0.0,0.0,639.6274397262129
2026-03-10,638.0730868557006,0.0,0.0,638.0730868557006
2026-03-11,637.5382760133931,0.0,0.0,637.5382760133931
2026-03-17,637.8192597427665,0.0,0.0,637.8192597427665
